,Вакансия,link,salary_min,salary_max,salary_cur,web-site,keyword
156,Системный администратор Linux,https://www.hh.ruhttps://hh.ru/vacancy/37540006?query=Python,130000.0,150000.0,руб.,www.hh.ru,Python
157,Инженер-физик,https://www.hh.ruhttps://hh.ru/vacancy/37409416?query=Python,80000.0,120000.0,руб.,www.hh.ru,Python
158,Frontend-разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37538121?query=Python,,,,www.hh.ru,Python
159,DevOps engineer,https://www.hh.ruhttps://hh.ru/vacancy/37454895?query=Python,100000.0,160000.0,руб.,www.hh.ru,Python
160,QA инженер,https://www.hh.ruhttps://hh.ru/vacancy/37007808?query=Python,,120000.0,руб.,www.hh.ru,Python
161,Ведущий тестировщик,https://www.hh.ruhttps://hh.ru/vacancy/37562583?query=Python,100000.0,,руб.,www.hh.ru,Python
162,Ведущий системный инженер-разработчик в направление по созданию решений на базе виртуализации,https://www.hh.ruhttps://hh.ru/vacancy/37656186?query=Python,,,,www.hh.ru,Python
163,Реверс-инженер,https://www.hh.ruhttps://hh.ru/vacancy/37327300?query=Python,80000.0,200000.0,руб.,www.hh.ru,Python
164,Product manager,https://www.hh.ruhttps://hh.ru/vacancy/36353618?query=Python,100000.0,110000.0,руб.,www.hh.ru,Python
165,Ведущий инженер по внедрению и техподдержке телекоммуникационного биллинга (Зеленоград),https://www.hh.ruhttps://hh.ru/vacancy/36520367?query=Python,120000.0,,руб.,www.hh.ru,Python
166,Разработчик (интеграция ПО),https://www.hh.ruhttps://hh.ru/vacancy/37458552?query=Python,,300000.0,руб.,www.hh.ru,Python
167,Инженер DevOps,https://www.hh.ruhttps://hh.ru/vacancy/37641119?query=Python,,,,www.hh.ru,Python
168,Инженер DevOps,https://www.hh.ruhttps://hh.ru/vacancy/37432282?query=Python,,200000.0,руб.,www.hh.ru,Python
169,Rust Developer,https://www.hh.ruhttps://hh.ru/vacancy/36357908?query=Python,2000.0,, EUR,www.hh.ru,Python
170,Ведущий devops / системный инженер,https://www.hh.ruhttps://hh.ru/vacancy/37662470?query=Python,120000.0,,руб.,www.hh.ru,Python
171,Elixir разработчик,https://www.hh.ruhttps://hh.ru/vacancy/37634963?query=Python,,,,www.hh.ru,Python
172,Teamlead команды технической поддержки,https://www.hh.ruhttps://hh.ru/vacancy/36559188?query=Python,,180000.0,руб.,www.hh.ru,Python
173,Compact Models Developer,https://www.hh.ruhttps://hh.ru/vacancy/37581311?query=Python,,,,www.hh.ru,Python
174,Ведущий тестировщик,https://www.hh.ruhttps://hh.ru/vacancy/37547865?query=Python,,,,www.hh.ru,Python
175,Automatic code analysis engineer,https://www.hh.ruhttps://hh.ru/vacancy/37613230?query=Python,,,,www.hh.ru,Python
176,Инженер по внедрению и техподдержке биллинга,https://www.hh.ruhttps://hh.ru/vacancy/36531853?query=Python,90000.0,,руб.,www.hh.ru,Python
177,ML Engineer,https://www.hh.ruhttps://hh.ru/vacancy/37447358?query=Python,,,,www.hh.ru,Python
